SY-2024-25-Proficiency-ELA-2025.12.18-TT-MASKED_reload3.10 (1)
TableName,SY,DistrictCode,LocationCode,SchoolCode,DistrictName,LocationName,Demographic,SubTest,AttenuatedProficiencyRate,ProficientN,AttenuatedStudentTotal
ProficiencyELA,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,Male,ELA,60.87,28,46
ProficiencyELA,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,Hispanic,ELA,52.38,11,21
ProficiencyELA,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,White,ELA,66.67,48,72
ProficiencyELA,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,Black,ELA,*,*,*
ProficiencyELA,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,Asian,ELA,*,*,*
ProficiencyELA,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,Native,ELA,*,*,*
ProficiencyELA,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,Multirace,ELA,*,*,*
ProficiencyELA,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,FRL,ELA,59.55,53,89
ProficiencyELA,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,NotFRL,ELA,*,*,*
ProficiencyELA,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,DirectCert,ELA,37.5,15,40
ProficiencyELA,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,NotDirectCert,ELA,77.55,38,49
ProficiencyELA,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,SwD,ELA,*,*,14
ProficiencyELA,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,NotSwD,ELA,68,51,75
ProficiencyELA,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,EL,ELA,*,*,*
ProficiencyELA,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,NotEL,ELA,59.55,53,89
ProficiencyELA,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,Migratory,ELA,*,*,*
ProficiencyELA,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,Homeless,ELA,34.78,8,23
ProficiencyELA,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,Military,ELA,*,*,*
ProficiencyELA,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,AnyNative,ELA,*,*,*
ProficiencyELA,2024-2025,3,0,3000,QUEMADO,QUEMADO DO,AnyBlack,ELA,*,*,10
ProficiencyELA,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,All,ELA,41.7,1851,4439
ProficiencyELA,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,Female,ELA,46.1,1011,2193
ProficiencyELA,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,Male,ELA,37.4,840,2246
ProficiencyELA,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,Hispanic,ELA,38.37,1273,3318
ProficiencyELA,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,White,ELA,41.56,1770,4259
ProficiencyELA,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,Black,ELA,42.37,50,118
ProficiencyELA,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,Asian,ELA,68.42,26,38
ProficiencyELA,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,Native,ELA,*,*,18
ProficiencyELA,2024-2025,4,0,4000,ROSWELL,ROSWELL DO,Multirace,ELA,*,*,*
