LEAID,DistrictName,EntityID,ELAProficiencyPct,MathProficiencyPct,SchoolYear
2803240,NORTH PIKE SCHOOL DIST,5711-000,49.0,52.4,2022-23
2804650,WEST TALLAHATCHIE SCHOOL DISTRICT,6812-000,21.8,33.3,2022-23
2804290,TUNICA COUNTY SCHOOL DISTRICT,7200-000,34.6,53.2,2022-23
2802550,LEE COUNTY SCHOOL DISTRICT,4100-000,47.0,53.7,2022-23
2804320,TUPELO PUBLIC SCHOOL DIST,4120-000,53.1,60.8,2022-23
2804440,WALTHALL CO SCHOOL DIST,7400-000,37.5,38.3,2022-23
2804380,UNION PUBLIC SCHOOL DIST,5131-000,62.5,70.5,2022-23
2802160,JACKSON CO SCHOOL DIST,3000-000,61.2,69.6,2022-23
2804470,VICKSBURG WARREN SCHOOL DIST,7500-000,41.2,45.9,2022-23
2804500,WATER VALLEY SCHOOL DISTRICT,8113-000,41.2,49.0,2022-23
2804530,WAYNE CO SCHOOL DIST,7700-000,40.1,44.0,2022-23
2800191,WEST POINT CONSOLIDATED SCHOOL DIST,1321-000,35.8,49.7,2022-23
2804170,STONE CO SCHOOL DIST,6600-000,59.5,70.2,2022-23
2800196,WINONA-MONTGOMERY CONSOLIDATED,4911-000,37.6,52.1,2022-23
2804710,WILKINSON CO SCHOOL DIST,7900-000,20.6,16.2,2022-23
2804770,YAZOO CITY MUNICIPAL SCHOOL DIST,8220-000,16.0,20.3,2022-23
2804800,YAZOO CO SCHOOL DIST,8200-000,29.1,38.4,2022-23
